year,population,milesDriven,gallonsUsed,gasPriceUnadjusted,gasPriceType,cpiMultiplier,milesPerCapita,fuelEfficiency,gasPriceAdjusted,dollarsPerMile
1970,205052174,1109724000000,88684050000,0.357,Leaded Regular,6.100515463917526,5411.910434073233,12.513230958667314,2.177884020618557,0.17404649748832782
1971,207660677,1178811000000,92194620000,0.364,Leaded Regular,5.844444444444444,5676.6211929473775,12.786114851387207,2.127377777777778,0.16638187616052671
1972,209896021,1259786000000,97744080000,0.361,Leaded Regular,5.662679425837321,6001.952747832223,12.888616886055912,2.0442272727272726,0.15860718731882745
1973,211908788,1313110000000,102312420000,0.388,Leaded Regular,5.331081081081081,6196.581144147736,12.83431669390676,2.068459459459459,0.16116630972971738
1974,213853928,1280544000000,100212210000,0.532,Leaded Regular,4.801217038539554,5987.937710454399,12.778323120505974,2.554247464503043,0.1998890965907821
1975,215973199,1327664000000,102327750000,0.567,Leaded Regular,4.399628252788104,6147.3553484754375,12.974623208269506,2.4945892193308548,0.19226679490321563
1976,218035164,1402380000000,106972740000,0.614,Unleaded Regular,4.1599297012302285,6431.898296918748,13.109695049411654,2.5541968365553602,0.19483266597188997
1977,220239425,1467027000000,110023410000,0.656,Unleaded Regular,3.905940594059406,6661.055349195541,13.3337714219183,2.5622970297029704,0.19216596329910224
1978,222584545,1544704000000,113625960000,0.652,All grades,3.630368098159509,6939.852899490394,13.594639816464477,2.367,0.17411274090052203
1979,225055487,1529133000000,107831220000,0.882,All grades,3.260330578512397,6794.471089700648,14.180800328513394,2.875611570247934,0.2027820365304721
1980,226542250,1527295000000,100856070000,1.221,All grades,2.8725728155339803,6741.766712390294,15.143312643453191,3.5074114077669902,0.23161454104187212
1981,229465744,1555308000000,100994040000,1.353,All grades,2.6039603960396036,6777.95287823005,15.399997861259932,3.523158415841584,0.2287765522815041
1982,231664432,1595010000000,100242870000,1.281,All grades,2.4528497409326424,6885.001664821814,15.911455847183944,3.142100518134715,0.19747410597194429
1983,233792014,1652788000000,101515260000,1.225,All grades,2.376506024096386,7069.480140583416,16.281177824890563,2.9112198795180726,0.17880892345929775
1984,235824908,1720269000000,102603690000,1.198,All grades,2.278152069297401,7294.687463632977,16.766151392800786,2.7292261790182866,0.16278191190556637
1985,237923734,1774826000000,104719230000,1.196,All grades,2.199814126394052,7459.642508804944,16.948424849953536,2.630977695167286,0.15523434882354267
1986,240132831,1834872000000,107831220000,0.931,All grades,2.1596715328467155,7641.070953767251,17.016148013534483,2.0106541970802922,0.11816153664631014
1987,242288936,1921204000000,110467980000,0.957,All grades,2.0836267605633805,7929.392203034809,17.391501139063102,1.994030809859155,0.1146554741833272
1988,244499004,2025962000000,112460880000,0.964,All grades,2.0008453085376163,8286.176904017164,18.014815462941424,1.928814877430262,0.10706825620268268
1989,246819222,2096487000000,112338240000,1.06,All grades,1.9088709677419353,8494.018346755829,18.662273861509668,2.0234032258064514,0.10842211623416666
1990,249622814,2144362000000,110912550000,1.217,All grades,1.8110175975516452,8590.408727625352,19.33380848244856,2.2040084162203524,0.11399763363856505
1991,252980941,2172050000000,110192040000,1.196,All grades,1.7378854625550662,8585.824653091158,19.711496402099463,2.078511013215859,0.10544663737424205
1992,256514224,2247151000000,111418440000,1.19,All grades,1.6870990734141125,8760.336814694534,20.168573532352454,2.007647897362794,0.09954337594289062
1993,259918588,2296378000000,114607080000,1.173,All grades,1.6380622837370242,8834.989516024918,20.0369645575125,1.9214470588235295,0.09589511691296161
1994,263125821,2357588000000,116523330000,1.174,All grades,1.597165991902834,8959.926437626204,20.232755105780104,1.8750728744939271,0.0926751134331802
1995,266278393,2422823000000,119405370000,1.205,All grades,1.5531496062992125,9098.834391718745,20.290737342885,1.8715452755905513,0.0922364349783875
1996,269394284,2499779000000,120969030000,1.288,All grades,1.508604206500956,9279.257758861728,20.664619696462804,1.9430822179732312,0.09402942064817345
1997,272646925,2568404000000,122900610000,1.291,All grades,1.4747663551401868,9420.256619435557,20.89822011461131,1.903923364485981,0.0911045703435205
1998,275854104,2644672000000,126518490000,1.115,All grades,1.4521472392638035,9587.21281159551,20.90344265095165,1.6191441717791408,0.07745825406923713
1999,279040168,2707236000000,129247230000,1.221,All grades,1.4207683073229291,9701.95803494499,20.94618198007029,1.7347581032412966,0.08281977617170856
2000,282162411,2764484000000,129875760000,1.563,All grades,1.3745644599303135,9797.492125909004,21.285604026494244,2.14844425087108,0.10093414535931919
2001,284968955,2813416000000,131991300000,1.531,All grades,1.336533032185206,9872.710520344224,21.315162438736493,2.0462320722755503,0.09599889647366185
2002,287625193,2873612000000,135639840000,1.441,All grades,1.3157309616453585,9990.821631539071,21.185604465472682,1.8959683157309617,0.0894932367316176
2003,290107933,2908778000000,136973550000,1.638,All grades,1.2864130434782608,10026.537261219948,21.236056158287493,2.107144565217391,0.09922485368805477
2004,292805298,2982017000000,139579650000,1.923,All grades,1.2530439385918475,10184.300012221773,21.364267642167036,2.409603493912123,0.11278661802365018
2005,295516599,3009218000000,140407470000,2.338,All grades,1.2119815668202765,10182.906849168226,21.432036343935263,2.8336129032258066,0.13221389035333775
2006,298379912,3033753000000,141848490000,2.635,All grades,1.1741071428571428,10167.417034428243,21.38727736897305,3.093772321428571,0.14465479958270744
2007,301231207,3049027000000,142354380000,2.849,All grades,1.1418234442836468,10121.882889776423,21.418568223893075,3.25305499276411,0.15188013310503298
2008,304093966,2992705000000,137801370000,3.317,All grades,1.0993961913608916,9841.38238375963,21.71752719149309,3.6466971667440777,0.1679149350010951
2009,306771529,2975804000000,137924010000,2.401,All grades,1.1034965034965034,9700.391720510674,21.575677795330922,2.6494951048951045,0.12280008674714579
2010,309349689,2985094506000,137862690000,2.836,All grades,1.0852819807427785,9649.57978671186,21.65266400938499,3.0778596973865198,0.1421469291747414
2011,311721632,2964720000000,134183490000,3.577,All grades,1.0524677634504223,9510.793270837232,22.09452146460045,3.7646771898621605,0.17038962332331462
2012,314112078,2968815000000,133095060000,3.695,All grades,1.030923344947735,9451.451274662542,22.305974391536395,3.8092617595818807,0.17077316115933663
2013,316497531,2988322739000,135563190000,3.584,All grades,1.0158798283261803,9441.851661711698,22.043762314828975,3.64091330472103,0.1651675087365538
